series,episode,baker_first_name,baker_last_name,baker_age,baker_occupation,hometown,technical,result,signature_bake,show_stopper
3,4,Ryan,Chong,38,Photographer,Bristol,7,stayed in,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue"
3,4,Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",4,stayed in,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue
3,4,Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",8,Eliminated,Black Forest Torte,Choca Blocka Mocha Meringue
3,4,Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,1,Star Baker,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise"
3,4,Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
3,4,Peter,Maloney,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
3,4,Victoria,Chester,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
3,5,Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,stayed in,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie
3,5,Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",1,stayed in,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie
3,5,Danny,Bryden,45,Intensive care consultant,Sheffield,7,stayed in,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie
3,5,James,Morton,21,Medical student,"Hillswick, Shetland Islands",6,stayed in,Four Pig Wellington,Sweet Potato Pie
3,5,John,Whaite,22,Law student,Wigan,2,stayed in,Venison and Haggis Wellington,Star-Spangled Pecan Pie
3,5,Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",4,stayed in,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie
3,5,Manisha,Parmar,27,Nursery nurse,Leicester,5,Eliminated,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie
3,5,Ryan,Chong,38,Photographer,Bristol,8,Star Baker,Curry Spiced Seabass Wellington,Key Lime Pie
3,5,Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
3,5,Peter,Maloney,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
3,5,Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA
3,5,Victoria,Chester,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
3,6,Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,stayed in,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel
3,6,Danny,Bryden,45,Intensive care consultant,Sheffield,2,stayed in,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel"
3,6,James,Morton,21,Medical student,"Hillswick, Shetland Islands",7,stayed in,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel"
3,6,John,Whaite,22,Law student,Wigan,5,stayed in,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury
3,6,Ryan,Chong,38,Photographer,Bristol,6,stayed in,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel"
3,6,Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",4,stayed in,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries
3,6,Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,1,Star Baker,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel"
3,6,Manisha,Parmar,27,Nursery nurse,Leicester,NA,NA,NA,NA
3,6,Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
3,6,Peter,Maloney,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
3,6,Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA
3,6,Victoria,Chester,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
3,7,Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,4,stayed in,Chelsea Bunskis,Black Forest Christmas Stollen
3,7,Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",5,stayed in,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche
3,7,James,Morton,21,Medical student,"Hillswick, Shetland Islands",1,stayed in,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba
3,7,John,Whaite,22,Law student,Wigan,3,stayed in,Cherry and Almond Saffron Buns,Marzipan Stollen
3,7,Ryan,Chong,38,Photographer,Bristol,6,Eliminated,Lardy Cakes,Char Siu Bao
3,7,Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",7,Eliminated,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait
3,7,Danny,Bryden,45,Intensive care consultant,Sheffield,2,Star Baker,Bakewell Chelsea Buns,European Christmas Wreath
3,7,Manisha,Parmar,27,Nursery nurse,Leicester,NA,NA,NA,NA
3,7,Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
3,7,Peter,Maloney,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
3,7,Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA
3,7,Victoria,Chester,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
3,8,Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,2,stayed in,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House
3,8,Danny,Bryden,45,Intensive care consultant,Sheffield,4,stayed in,Spiced Almond Drinks Crackers,Gingerbread Big Ben
3,8,John,Whaite,22,Law student,Wigan,3,stayed in,Asian Spice Crackers,Gingerbread Roman Coliseum
3,8,Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",5,Eliminated,Cheese and Pickle Crackers,Gingerbread Buckingham Palace
3,8,James,Morton,21,Medical student,"Hillswick, Shetland Islands",1,Star Baker,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn
3,8,Manisha,Parmar,27,Nursery nurse,Leicester,NA,NA,NA,NA
3,8,Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
3,8,Peter,Maloney,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
3,8,Ryan,Chong,38,Photographer,Bristol,NA,NA,NA,NA
3,8,Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",NA,NA,NA,NA
3,8,Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA
3,8,Victoria,Chester,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
3,9,Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,stayed in,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré
3,9,John,Whaite,22,Law student,Wigan,2,stayed in,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion
3,9,Danny,Bryden,45,Intensive care consultant,Sheffield,4,Eliminated,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré
3,9,James,Morton,21,Medical student,"Hillswick, Shetland Islands",1,Star Baker,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest"
3,9,Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",NA,NA,NA,NA
3,9,Manisha,Parmar,27,Nursery nurse,Leicester,NA,NA,NA,NA
3,9,Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
3,9,Peter,Maloney,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
3,9,Ryan,Chong,38,Photographer,Bristol,NA,NA,NA,NA
3,9,Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",NA,NA,NA,NA
3,9,Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA
3,9,Victoria,Chester,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
3,10,Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,2,Series Runner up,Potato and Pepper Pithivier,Family Reunion Chiffon Cake
3,10,James,Morton,21,Medical student,"Hillswick, Shetland Islands",1,Series Runner up,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes
3,10,John,Whaite,22,Law student,Wigan,2,Series Winner,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake
3,10,Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",NA,NA,NA,NA
3,10,Danny,Bryden,45,Intensive care consultant,Sheffield,NA,NA,NA,NA
3,10,Manisha,Parmar,27,Nursery nurse,Leicester,NA,NA,NA,NA
3,10,Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
3,10,Peter,Maloney,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
3,10,Ryan,Chong,38,Photographer,Bristol,NA,NA,NA,NA
3,10,Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",NA,NA,NA,NA
3,10,Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA
3,10,Victoria,Chester,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
4,1,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",11,stayed in,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
4,1,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",8,stayed in,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence
4,1,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",3,stayed in,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake
4,1,Deborah,Manger,51,Dentist,Peterborough,9,stayed in,Pineapple Cake,'Coffee Time'
4,1,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",7,stayed in,Giant Jam Sandwich,Secret Squirrel Cake
4,1,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",4,stayed in,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake
4,1,Howard,Middleton,51,Council Worker,Sheffield,6,stayed in,Passion Fruit and Coconut Cake,Black Forest Revisited
4,1,Kimberley,Wilson,30,Psychologist,London,10,stayed in,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake"
4,1,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",2,stayed in,Timperley Early Cake,Thyme 'Wildwood' Cake
4,1,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,5,stayed in,Lemon and Poppy Seed Cake,Chocolate Monster
4,1,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",12,stayed in,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake
4,1,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",13,Eliminated,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake
4,1,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",1,Star Baker,Pecan and Apple Cake,Raspberry Chocolate Cake
4,2,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",9,stayed in,Italian Grissini,Sweet and Savoury Yin Yang Bread
4,2,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",11,stayed in,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath
4,2,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,stayed in,Mediterranean Breadsticks with Oregano,Double Plaited Loaf
4,2,Deborah,Manger,51,Dentist,Peterborough,8,stayed in,Fennel & Chilli Breadsticks,Walnut Fleur Loaf
4,2,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2,stayed in,Giant Matchsticks,Sailor's Knot
4,2,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",7,stayed in,Rosemary and Parmesan Grissini,Harvest Crown
4,2,Howard,Middleton,51,Council Worker,Sheffield,10,stayed in,Moroccan Breadsticks,Picasso Sun Bread
4,2,Kimberley,Wilson,30,Psychologist,London,1,stayed in,Nigella Seed and Parmesan Breadsticks,Peace Bread
4,2,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,6,stayed in,Rosemary & Raisin Breadsticks,Sage & Garlic Plait
4,2,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",5,stayed in,Twisty Rye Bread Sticks,Tribute Loaf
4,2,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",12,Eliminated,Grissini with Salt,Roast Tomato Bread
4,2,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",3,Star Baker,Mexican Breadsticks,White Chocolate and Orange Peacock Bread
4,2,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
4,3,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",5,stayed in,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops
4,3,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",10,stayed in,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread
4,3,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",8,stayed in,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes
4,3,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",1,stayed in,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers
4,3,Howard,Middleton,51,Council Worker,Sheffield,7,stayed in,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits
4,3,Kimberley,Wilson,30,Psychologist,London,6,stayed in,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits
4,3,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",2,stayed in,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons
4,3,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",3,stayed in,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes
4,3,Deborah,Manger,51,Dentist,Peterborough,9,Eliminated,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies
4,3,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,11,Eliminated,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites
4,3,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,Star Baker,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels
4,3,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,3,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
4,4,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",2,stayed in,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast
4,4,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",7,stayed in,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese
4,4,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",1,stayed in,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie
4,4,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",9,stayed in,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese)
4,4,Howard,Middleton,51,Council Worker,Sheffield,5,stayed in,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan
4,4,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",3,stayed in,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms
4,4,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",6,stayed in,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie"
4,4,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",8,Eliminated,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha"
4,4,Kimberley,Wilson,30,Psychologist,London,4,Star Baker,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie"
4,4,Deborah,Manger,51,Dentist,Peterborough,NA,NA,NA,NA
4,4,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,4,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
4,4,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
4,5,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",5,stayed in,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece
4,5,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,stayed in,Millionaire Banoffee Bonus,Biscuit Buttons and Beads
4,5,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",2,stayed in,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter
4,5,Howard,Middleton,51,Council Worker,Sheffield,8,stayed in,Breakfast Traybake,Japanese Pagoda Tea Tower
4,5,Kimberley,Wilson,30,Psychologist,London,7,stayed in,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack
4,5,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",6,stayed in,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece
4,5,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,Eliminated,Blueberry & Orange Traybake,Dalek
4,5,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",1,Star Baker,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower
4,5,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
4,5,Deborah,Manger,51,Dentist,Peterborough,NA,NA,NA,NA
4,5,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,5,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
4,5,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
4,6,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",6,stayed in,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
4,6,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,stayed in,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød
4,6,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2,stayed in,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches
4,6,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",5,stayed in,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen
4,6,Kimberley,Wilson,30,Psychologist,London,3,stayed in,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer
4,6,Howard,Middleton,51,Council Worker,Sheffield,7,Eliminated,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken
4,6,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",1,Star Baker,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns
4,6,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
4,6,Deborah,Manger,51,Dentist,Peterborough,NA,NA,NA,NA
4,6,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,6,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
4,6,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA
4,6,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
4,7,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",1,stayed in,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
4,7,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",6,stayed in,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille
4,7,Kimberley,Wilson,30,Psychologist,London,4,stayed in,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette"
4,7,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",2,stayed in,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts
4,7,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",3,Eliminated,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille
4,7,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",5,Star Baker,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers
4,7,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
4,7,Deborah,Manger,51,Dentist,Peterborough,NA,NA,NA,NA
4,7,Howard,Middleton,51,Council Worker,Sheffield,NA,NA,NA,NA
4,7,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,7,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
4,7,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA
4,7,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
4,8,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,stayed in,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake
4,8,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,stayed in,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)"
4,8,Kimberley,Wilson,30,Psychologist,London,2,stayed in,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House
4,8,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",5,Eliminated,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant
4,8,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",1,Star Baker,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot
4,8,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
4,8,Deborah,Manger,51,Dentist,Peterborough,NA,NA,NA,NA
4,8,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",NA,NA,NA,NA
4,8,Howard,Middleton,51,Council Worker,Sheffield,NA,NA,NA,NA
4,8,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,8,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
4,8,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA
4,8,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
4,9,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2,stayed in,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake
4,9,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",4,stayed in,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake"
4,9,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",3,Eliminated,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake
4,9,Kimberley,Wilson,30,Psychologist,London,1,Star Baker,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake
4,9,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
4,9,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",NA,NA,NA,NA
4,9,Deborah,Manger,51,Dentist,Peterborough,NA,NA,NA,NA
4,9,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",NA,NA,NA,NA
4,9,Howard,Middleton,51,Council Worker,Sheffield,NA,NA,NA,NA
4,9,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,9,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
4,9,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA
4,9,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
4,10,Kimberley,Wilson,30,Psychologist,London,1,Series Runner up,Chicken and Pig Pie,Languages of Love Wedding Cake
4,10,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",2,Series Runner up,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake"
4,10,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,Series Winner,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake
4,10,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
4,10,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",NA,NA,NA,NA
4,10,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",NA,NA,NA,NA
4,10,Deborah,Manger,51,Dentist,Peterborough,NA,NA,NA,NA
4,10,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",NA,NA,NA,NA
4,10,Howard,Middleton,51,Council Worker,Sheffield,NA,NA,NA,NA
4,10,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,10,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
4,10,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA
4,10,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
5,1,Chetna,Makan,35,Fashion Designer,"Broadstairs, Kent",3,stayed in,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream
